,RA,DEC,z,xVal,yVal,zVal
22669,151.481961,50.507312,0.059454999999999994,-99.672914422359,54.1586160994665,137.64529653331311
26405,192.76943799999998,38.242919,0.057260000000000005,-131.57808749677926,-29.82000948345373,106.33128573047841
3725,215.975146,20.537215,0.039784,-90.4495083740286,-65.65548675041667,41.87055526814031
4385,214.20392999999999,23.773959,0.041112,-93.34829480467623,-63.448796179886486,49.72036822452628
16740,157.723347,18.547764,0.032512,-85.5683074814716,35.0533947967643,31.02572422971798
10226,148.87686100000002,13.944885999999999,0.056813,-141.6056038138362,85.49997857540502,41.073828079741254
8744,202.45042800000002,33.848934,0.021192,-48.79871306420747,-20.163642229132467,35.412157676886814
22681,158.231456,51.512453,0.050983,-88.39914901843295,35.300853298973635,119.71982630367133
2977,148.577478,24.465314000000003,0.03248,-75.68416560477155,46.238656610158806,40.35402472613277
23576,245.662899,34.532977,0.040996,-41.7533999586659,-92.31410312240348,69.71949584297018
18727,227.167994,29.917429,0.051174000000000004,-90.46399946693727,-97.58283242930516,76.56931565268252
2487,316.027683,9.029902,0.050282,107.21471426052322,-103.43598290334812,23.675265634257087
12881,133.729641,33.304376,0.049553,-85.88448825375974,89.77994924350124,81.62667255391551
6178,154.565008,44.806165,0.046714,-89.7925973102845,42.70388246381955,98.75954665139653
27436,116.393774,35.158734,0.055924,-60.97443377438355,122.86572170034772,96.61043857133663
2777,153.526549,31.191276000000002,0.030764,-70.67188206383143,35.194822613410444,47.79772809210155
14360,333.017941,-8.149749,0.038901,102.94942036776142,-52.4147505437351,-16.543910673718212
431,166.206252,16.987975,0.045682,-127.28624000880262,31.249772441737086,40.04086590923258
6446,246.493852,7.848242,0.054826,-64.98715801198664,-149.41638479097873,22.459424158229368
23328,239.647259,27.232172,0.039492,-53.23269351299189,-90.90463817460828,54.21429401638854
5552,179.11604599999998,41.479026,0.043673000000000003,-98.14752155774138,1.5143310562297145,86.77988922858123
1715,223.411825,7.860656,0.059387,-128.20590357566047,-121.28842769553592,24.3660730626255
9030,219.341281,27.860955999999998,0.036293,-74.44453017914473,-61.02176380522657,50.88214725722123
24934,187.696894,0.78482,0.036829,-109.48129152031463,-14.79640795063577,1.513369684593747
26717,196.77465,46.577395,0.049838,-98.39882322295651,-29.660858471561866,108.59254697753127
16548,155.28283000000002,14.556576000000002,0.047006,-123.98637641607108,57.07238344334184,35.442881306526054
26970,191.140428,52.080535999999995,0.059493,-107.61800700949877,-21.19268278871691,140.79768536634504
16753,153.89166799999998,13.126657000000002,0.033343,-87.47537761710386,42.86952011549681,22.717028784858776
25971,126.987847,35.675004,0.048519,-71.13947120344945,94.4469411160926,84.88693185471435
22854,241.27482,8.246714,0.043983999999999995,-62.761550627032356,-114.51681108469174,18.926649092839316
3676,219.75550299999998,18.413634,0.043055,-94.21547329309345,-78.37349146630532,40.79997123208993
6990,159.175474,52.400009999999995,0.043384,-74.22392044899094,28.231385249705138,103.11809552190435
6518,249.008744,14.871003,0.05705,-59.25676783196891,-154.43960121378677,43.924566509353724
