,xVal,yVal,zVal
972,24.67,80.41,52.35
973,114.54,62.59,76.78
974,71.47,59.46,66.96
975,12.8,73.43,21.17
976,64.68,42.83,4.3
977,92.42,67.23,103.38
978,20.67,77.67,50.01
979,84.22,3.07,96.2
980,43.95,65.41,104.75
981,84.08,117.35,84.48
982,65.98,7.19,122.79
983,78.03,1.92,93.56
984,61.39,141.1,1.63
985,95.61,118.37,94.73
986,138.75,101.91,8.14
987,57.37,53.46,123.41
988,109.43,86.95,48.03
989,80.36,54.14,43.23
990,124.2,133.13,23.68
991,6.43,109.77,67.59
992,91.28,55.76,67.63
993,111.52,79.47,125.38
994,118.42,54.31,120.51
